Index,Compagny,Typo,Nb_reviews,Rating,Website,review_link,SubCategory
0,Aceable,Driving School,36802,4.9,https://www.www.aceable.com,https://www.trustpilot.com/review/www.aceable.com,Car Accessories Store 
1,We Buy Any Car® USA,Car Dealer,31919,4.9,https://www.webuyanycarusa.com,https://www.trustpilot.com/review/webuyanycarusa.com,Car Accessories Store 
2,"Comedy Driving, Inc.",Driving School,4118,4.9,https://www.comedydriving.com,https://www.trustpilot.com/review/comedydriving.com,Car Accessories Store 
3,iDriveSafely,Driving School,19165,4.8,https://www.www.idrivesafely.com,https://www.trustpilot.com/review/www.idrivesafely.com,Car Accessories Store 
4,Miles Car Rental,Car Rental Agency,7640,4.8,https://www.milescarrental.com,https://www.trustpilot.com/review/milescarrental.com,Car Accessories Store 
5,Marine Parts Source,Boat Accessories Store,7421,4.8,https://www.marinepartssource.com,https://www.trustpilot.com/review/marinepartssource.com,Car Accessories Store 
6,Michigan Truck Spring,Auto Parts Store,6363,4.8,https://www.truckspring.com,https://www.trustpilot.com/review/truckspring.com,Car Accessories Store 
7,ChromeBurner Motorgear,Motorcycle Shop,4434,4.8,https://www.www.chromeburner.com,https://www.trustpilot.com/review/www.chromeburner.com,Car Accessories Store 
8,ForeverCar,Car Service,4312,4.8,https://www.forevercar.com,https://www.trustpilot.com/review/forevercar.com,Car Accessories Store 
9,procivic.com,Car Accessories Store,4268,4.8,https://www.procivic.com,https://www.trustpilot.com/review/procivic.com,Car Accessories Store 
10,Street Smart® Transmission,Auto Parts Store,4251,4.8,https://www.streetsmarttransmission.com,https://www.trustpilot.com/review/streetsmarttransmission.com,Car Accessories Store 
11,Hot Shot's Secret,Car Accessories Store,2689,4.8,https://www.hotshotsecret.com,https://www.trustpilot.com/review/hotshotsecret.com,Car Accessories Store 
12,Wheelzy,Car Accessories Store,27190,4.7,https://www.wheelzy.com,https://www.trustpilot.com/review/wheelzy.com,Car Accessories Store 
13,Mavis Discount Tire,Auto Repair Shop,18483,4.7,https://www.mavistire.com,https://www.trustpilot.com/review/mavistire.com,Car Accessories Store 
14,StockWiseAuto.com,Auto Parts Store,16187,4.7,https://www.stockwiseauto.com,https://www.trustpilot.com/review/stockwiseauto.com,Car Accessories Store 
15,National Parts Depot,Auto Parts Store,9533,4.7,https://www.npdlink.com,https://www.trustpilot.com/review/npdlink.com,Car Accessories Store 
16,DriversEd.com,Driving School,9378,4.7,https://www.www.driversed.com,https://www.trustpilot.com/review/www.driversed.com,Car Accessories Store 
17,Pure Diesel Power,Auto Parts Store,5454,4.7,https://www.puredieselpower.com,https://www.trustpilot.com/review/puredieselpower.com,Car Accessories Store 
18,Teletrac Navman,Car Accessories Store,2726,4.7,https://www.teletracnavman.com,https://www.trustpilot.com/review/teletracnavman.com,Car Accessories Store 
19,Dial 7 Car & Limousine Service,Car Accessories Store,54582,4.6,https://www.dial7.com,https://www.trustpilot.com/review/dial7.com,Car Accessories Store 
20,"Town Fair Tire Centers, Inc",Tire Shop,40998,4.6,https://www.www.townfairtire.com,https://www.trustpilot.com/review/www.townfairtire.com,Car Accessories Store 
21,Turo,Car Rental Agency,27102,4.6,https://www.turo.com,https://www.trustpilot.com/review/turo.com,Car Accessories Store 
22,American Tire Depot,Tire Shop,21557,4.6,https://www.americantiredepot.com,https://www.trustpilot.com/review/americantiredepot.com,Car Accessories Store 
23,"Smart Start, Inc.",Car Equipment Accessories Store,12671,4.6,https://www.smartstartinc.com,https://www.trustpilot.com/review/smartstartinc.com,Car Accessories Store 
24,Auto Credit Express,Non-Bank Financial Service,3214,4.6,https://www.www.autocreditexpress.com,https://www.trustpilot.com/review/www.autocreditexpress.com,Car Accessories Store 
25,Sport Compact Warehouse,Car Accessories Store,2923,4.6,https://www.sportcompactwarehouse.com,https://www.trustpilot.com/review/sportcompactwarehouse.com,Car Accessories Store 
26,PRO Import Tuners.com,Auto Parts Store,2220,4.6,https://www.proimporttuners.com,https://www.trustpilot.com/review/proimporttuners.com,Car Accessories Store 
27,First Charter Bus Rental,Bus and Coach Company,7589,4.5,https://www.firstcharterbus.com,https://www.trustpilot.com/review/firstcharterbus.com,Car Accessories Store 
28,JennyChem,Car Accessories Store,5988,4.5,https://www.jennychem.com,https://www.trustpilot.com/review/jennychem.com,Car Accessories Store 
29,Viking Bags,Motorcycle Shop,5308,4.5,https://www.vikingbags.com,https://www.trustpilot.com/review/vikingbags.com,Car Accessories Store 
30,Complete Tractor,Auto Parts Store,5199,4.5,https://www.completetractor.com,https://www.trustpilot.com/review/completetractor.com,Car Accessories Store 
31,Extreme Tactical Dynamics,Car Accessories Store,3070,4.5,https://www.www.extremetacticaldynamics.com,https://www.trustpilot.com/review/www.extremetacticaldynamics.com,Car Accessories Store 
32,eEuroparts.com,Auto Parts Store,24243,4.4,https://www.www.eeuroparts.com,https://www.trustpilot.com/review/www.eeuroparts.com,Car Accessories Store 
