Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Alondra Camacho,1.0,"Easy to understand, fast, and effective.

I am glad I decided to go with Aceable when it came to picking a driver's ed course. It does not overwhelm you with information and they provide visual guides such as videos and graphs to understand the material better. Overall, a very good course so far!",US,1,2022-08-15T21:23:15Z,Aceable
Ryder,0.8,"Overall a great program

Overall a great program. A lot better than having to go to in person drivers Ed. My only critique is that I wish the progress bar showed what percentage of the course you’ve completed instead of just showing a line. Overall great course!",US,1,2022-08-15T17:23:09Z,Aceable
Sara,1.0,"Aceable

Aceable is the best. I truly liked how everything was broken down and was easy to understand. Also how they had videos explaining the topics so it’s not just about reading through it. And how it explains what we have to bring or just br ready for what we are to expect at the DMV.",US,1,2022-08-14T22:00:37Z,Aceable
Elias,1.0,"Great app to get drivers license

I had a great experience using this app I loved how it kept you involved with having questions every other module. It helped you with the final test. this app also kept it interesting by adding some humor in their own way. I would totally recommend for anyone's first time",US,1,2022-08-13T18:16:06Z,Aceable
Mario Lara,1.0,"I bought the wrong course

I bought the wrong course, I called and a day later they had me on the right course, so very convenient.
The video and the classes are funny, keep my interest. Very very easy to pay attention. Doesn't feel like a class with tedious information.",US,1,2022-08-13T16:43:55Z,Aceable
The mom says...,0.4,"Frustrating

Account was deleted on your end when I complained of roadside assist fee on my credit card, and my daughter was forced to start over. Lessons had daily time limits which was exasperating to her. Lessons included nonsense filler. Ultimately, she wished she's gone in person, it would have been faster.",US,1,2022-08-12T18:04:01Z,Aceable
Kathy Platt,0.8,"Would not refund or transfer class- and then did

Would not refund or transfer class. Once I paid, they just took my money. Will never use.

Edit: I called back to see if I could talk to a different agent. I ended up talking to two different agents, for a total of 3 agents. The second two were extremely helpful and transferred my paid class to my son. So I changed my review from 1 star to 4. If all else fails, call back and try someone else.",US,1,2022-08-11T02:20:27Z,Aceable
Kevin,1.0,"Easy to follow

Easy to follow, and I liked how it was very organized throughout. I wish there were ""Ace Cheat Sheets"" for things like Right-of-Way rules and the meaning meanings of different signs, however. But overall, I like how the information was presented.",US,1,2022-08-11T22:19:23Z,Aceable
Rage Gammer,0.8,"I will say why so long but it's…

I will say why so long but it's understandable at least I can keep coming back to the course with my adhd and get to a good stopping point with no issues. Overall really great just take a bit for me to load the page when I want to start back up.",US,1,2022-08-11T08:24:48Z,Aceable
John,1.0,"The course is very through and easy to…

The course is very through and easy to understand. You can finish easily in 2 or 3 days. Well worth the money. I made a 100 on my exam the first try. I highly recommend this course to anyone who wants to pass with ease.",US,1,2022-08-11T05:01:03Z,Aceable
Rashi,1.0,"Simple and Easy

Very simple and straightforward program. Loved that it took an interesting and modern twist and explanation of terms and I really appreciated how in-depth it went in terms of steps to do after completing the Aceable program. Would definitely recommend!",US,1,2022-08-09T07:41:48Z,Aceable
Bryson,1.0,"The subtle jokes jokes made the…

The subtle jokes jokes made the experience fun and easy. The formatting for the lessons and questions make getting your driving permit fun and easy I highly recommend this tool for anyone wanting to drive legally and quick
Thank you ACE",US,1,2022-08-08T07:05:56Z,Aceable
Alan F.,1.0,"The experience was seamless

The experience was seamless. The course is easy to follow, it's structured well and easy to understand. Additionally, they do a great job of preparing you for when it's time to go in to get a permit and drivers license, ensuring that nothing is forgotten. Thank you and keep up the great work!",US,3,2022-08-08T22:06:23Z,Aceable
Jeremie Misigaro,1.0,"So far I passed the permit exam and am…

So far I passed the permit exam and am ready to continue my journey to finally get my license.

Thanks, Ace!!",US,1,2022-08-15T06:38:42Z,Aceable
Renato,0.8,"Confused on addl payment for Instant Certificate delivery

I paid additional $10 or Instant delivery. I am just wondering if the certificate will be delivered or not. This is quite confusing for me.",US,1,2022-08-13T21:27:42Z,Aceable
Priscilla,1.0,"I enjoyed learning with Ace

I enjoyed learning with Ace. It was a very detailed and thorough lesson and instructions. I was sad when I was done with the course. Ace felt like a friend. Thank you for being an awesome robot Ace.",US,1,2022-08-10T06:09:30Z,Aceable
Marco Ortega,1.0,"More appealing than other driving courses

Aceable Driving Course is a less boring way of learning how to drive. As a high school student, I already have to read extremely long passages, Aceable, allows me to take each chapter with the most important details, and separates the entire chapter by numerous pages, making it look more appealing and more likely for me to continue consistently with the course. The memes help out a little too.",US,1,2022-08-06T10:02:26Z,Aceable
Mekhi,1.0,"10/10 Definitely Would Recommend

The course was very easy and informative. I could come back to it whenever I needed. I could take a practice test and prepare before taking the actual assessment. It was definitely easier than the driving school programs that I've heard about.",US,1,2022-08-08T18:33:42Z,Aceable
Taylor,1.0,"Amazing Program!

I loved Aceable because I heard from a lot of my friends (that used different programs) that they would have a certain amount of time they had to fill to be able to finish a certain lesson. What I loved about Aceable is that you could totally take it at your own pace. I love to be read to aloud, it makes me retain information better, so I used the read aloud feature at the beginning and as I got through the program more, I decided to read silently because it was quicker. I just love the flexibility that comes with Aceable! I would totally recommend.",US,1,2022-08-07T03:38:14Z,Aceable
Jonah Key,0.8,"Key's Experiences

I like having the option to not have the course narrated, as being able to read at my own pace and not having a voice makes it easier to focus. I've certainly learned quite a bit about traffic law that makes sense.",US,1,2022-08-09T00:13:49Z,Aceable
Madelene,1.0,"Great and easy online drivers ed

Great and easy online drivers ed. I enjoy the quizzes in between lessons that keep you refreshed and helps to memorize!",US,1,2022-08-13T20:12:39Z,Aceable
