Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Rodney Keith,1.0,"Happy Customer

Have to say I was amazed at the price and the delivery speed considering I am half way around the world in Australia (8 days). The item has not even been released here yet.
Thank you ChromeBurner
Will be using you guys again!",AU,1,2022-08-16T12:32:20Z,ChromeBurner Motorgear
Ant,1.0,"Took The Gamble And It Paid Off

I took the gamble on buying a Simpson helmet from ChromeBurner because they were nearly half the price compared to buying in Australia. I opted for the free postage option and received the helmet in just under 3 weeks. I used the Simpson sizing to choose helmet size and that was spot on.

Would I use ChromeBurner again? Simple answer is, YES.",AU,1,2022-08-14T01:39:24Z,ChromeBurner Motorgear
It’s just me,1.0,"5 stars 🌟

Ordered a helmet from Chromeburner as the range in Australia is very limited. I was expecting it to take quite a while to ship to Australia. To my surprise, it came faster than estimated (recieved within a week). Love the helmet. It meets my every expectation and would reorder from Chromeburner in the future, no problems.",AU,3,2022-08-14T02:01:42Z,ChromeBurner Motorgear
Rj,1.0,"helmet delivered in two days

helmet delivered in two days! great!

online reviews of helmet were accurate comfortable quiet convenient

Previous Shoei visor ratchet superior, holding partially open where wante. Shubert does not and visor snaps shut at speed with the wind",US,2,2022-08-14T23:20:26Z,ChromeBurner Motorgear
Maggie McNally,1.0,"Great service!!

I needed to replace my helmet quickly. I researched and found what I wanted but I had a hard time finding it and its communication/brake-light system. I had a question and got a quick answer. I placed my order online and got my items within a few days (to New York). I saved about $150!!!!!",US,1,2022-08-11T21:40:44Z,ChromeBurner Motorgear
Kev Noy,1.0,"The first thing I noticed

The first thing I noticed, was the comparable and cheaper price’s. I have never had any reason to chase my orders, not to question the quality of each item.
Please try to deal with. I will be back next time I need motorcycle items",AU,3,2022-08-12T18:19:05Z,ChromeBurner Motorgear
Craig wright,1.0,"Quick to sort out returns

Had issues with fitment, Chromeburner staff were very quick to respond & exchange for a different size despite international postage difficulties",AU,1,2022-08-15T01:26:29Z,ChromeBurner Motorgear
Tara Freeman,1.0,"Awesome Team!

They were great to work with. Purchase was exactly what I expected and shipped faster then I thought. Great Company will use them again",CA,1,2022-08-14T18:55:47Z,ChromeBurner Motorgear
Guy Biron,1.0,"Incredible

Incredible, I bought on a Sunday afternoon and received it on Wednesday afternoon. I live in Quebec Canada. It's faster than Amazon",CA,1,2022-08-15T03:01:22Z,ChromeBurner Motorgear
Anthony Thompson,1.0,"Awesome website

Awesome website. I was hesitant to buy from them because it seemed too good to be true. This website it legit and the quality is top notch. Their customer service is amazing and I’m extremely happy with my product",CA,1,2022-08-11T01:41:14Z,ChromeBurner Motorgear
Tim Hayes,1.0,"Quick easy service and shipping

They finally had the seat I wanted in stock. Order process was easy and flawless. Product arrived in just a few days which was impressive considering it Shipped internationally. Product looks great and was a perfect fit for my Motorcyle.",US,4,2022-08-10T06:16:43Z,ChromeBurner Motorgear
Jonathan Maher,1.0,"best price I could find for simpson…

best price I could find for simpson helmet -speedy delivery- great comms - will definitely use again 👍",AU,1,2022-08-16T01:04:49Z,ChromeBurner Motorgear
steven frank,1.0,"Great service from the reps

Great service from the reps. And fast delivery times. What you order is what you get. Look forward to doing more business with these guys. Keep up the good work. Cheers👍",CA,1,2022-08-12T01:58:28Z,ChromeBurner Motorgear
Manuel I. Oliva Prieto,1.0,"Great fast service

Great service, received my package in perfect condition and very fast, I will be a returning customer. Thank you",GT,2,2022-08-14T22:39:45Z,ChromeBurner Motorgear
Justin Fairman,1.0,"Ordered a packtalk slim to Vancouver…

Ordered a packtalk slim to Vancouver Canada, it arrived in 4 days and the pricing was better then everything locally by $200",CA,1,2022-08-13T19:16:26Z,ChromeBurner Motorgear
