Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Kathy,1.0,The material was very informative!,US,1,2022-08-16T09:23:59Z,"Comedy Driving, Inc."
Nathan,1.0,"💯💯💯💯

💯💯💯💯💯💯💯💯💯💯💯",US,1,2022-08-16T07:35:15Z,"Comedy Driving, Inc."
Suzette Sellers-Edmundson,1.0,"It was fine but several times I had to…

It was fine but several times I had to wait for buffering and it was a little confusing regarding the purchase and receiving the driving record, but in the end all went well.",US,2,2022-08-16T03:36:20Z,"Comedy Driving, Inc."
Jeremy,0.8,"Keeps you from falling asleep

Keeps you from falling asleep. East to use and quick.",US,1,2022-08-15T20:51:24Z,"Comedy Driving, Inc."
Debra Mayes,1.0,"This driver test was so easy as pie I…

This driver test was so easy as pie I thought it was going to be hard bc the other test out there are hard not this one… Thank you for making easy",US,2,2022-08-15T14:47:09Z,"Comedy Driving, Inc."
Giovanni,1.0,"Was surprised by the content and the…

Was surprised by the content and the way it was presented. Learned a lot.",US,1,2022-08-15T14:11:03Z,"Comedy Driving, Inc."
Mike,1.0,"Very informative and easy to complete

Very informative and easy to complete. No technical issues.",US,1,2022-08-15T10:57:02Z,"Comedy Driving, Inc."
JM,1.0,"If you have to take a driving course..

If you have to take a driving course...This is a great one.",US,3,2022-08-15T08:52:14Z,"Comedy Driving, Inc."
GH,1.0,"Moving videos about drinking

Moving videos about drinking, texting and driving.",US,2,2022-08-15T04:05:44Z,"Comedy Driving, Inc."
Tina,1.0,"Great course

Great course. Glad I choose this online class. Interesting and informative.",US,1,2022-08-15T03:39:36Z,"Comedy Driving, Inc."
Victoria Lail,1.0,"Smart Driving

The 6 hours went by pretty quickly. I even learned some things taking this course. I’m sure the benefits will be the percentage off my insurance policy, yeah.
Victoria Schwab",US,1,2022-08-14T21:26:35Z,"Comedy Driving, Inc."
Matthew,1.0,"Best Defensive Driving Class Ever!

Great work! Didn’t get bored at all.",US,1,2022-08-14T19:56:03Z,"Comedy Driving, Inc."
Nghiem,1.0,Very good and easy course .,US,1,2022-08-14T19:26:13Z,"Comedy Driving, Inc."
Natalie,1.0,"It was very informative and…

It was very informative and entertaining. Site was easy to use and navigate. Would definitely recommend to others.",US,2,2022-08-14T00:23:56Z,"Comedy Driving, Inc."
Estie,1.0,"the course

I needed the course and yours was the best. Thank you again Estie",US,1,2022-08-13T22:23:45Z,"Comedy Driving, Inc."
Craig Baker,1.0,"comedy driving

very good experience",US,3,2022-08-13T14:44:40Z,"Comedy Driving, Inc."
Patty Moye,1.0,"This course is terrific

This course is terrific. I should be taught in all public schools",US,2,2022-08-13T02:59:03Z,"Comedy Driving, Inc."
Leslie,1.0,The comedy keeps the student engaged.,US,1,2022-08-12T19:06:46Z,"Comedy Driving, Inc."
Andrea,1.0,"Course is easy and funny

Course is easy and funny. Kept me entertained and did not lose concentration like the other courses",US,1,2022-08-12T04:07:25Z,"Comedy Driving, Inc."
Aimee,1.0,Easy & Simple.,US,1,2022-08-12T01:00:03Z,"Comedy Driving, Inc."
Titilayo,1.0,"Very informative and fun

Very informative and fun. No final Exam.",US,1,2022-08-11T21:28:59Z,"Comedy Driving, Inc."
Virginia Alexander,1.0,"It was exactly what I needed...a little…

It was exactly what I needed...a little humor to move me along through the 6 hour process.",US,1,2022-08-11T04:51:16Z,"Comedy Driving, Inc."
Brittney,1.0,"It was well worth watching I laughed…

It was well worth watching I laughed all why learning.",US,1,2022-08-09T17:02:21Z,"Comedy Driving, Inc."
Edric,1.0,"Ease of use

Quick, easy to use, and works great with just about all your electronic devices.",US,1,2022-08-09T09:58:53Z,"Comedy Driving, Inc."
Roberto,1.0,"I really liked taking this course.

I really liked taking this course despite its length. I loved the fact that they incorporated humor into it. It makes it much more interesting and enjoyable while maintaining the seriousness of the proposed content.",US,1,2022-08-09T09:16:23Z,"Comedy Driving, Inc."
Les B.,0.8,"Very informative and some good comedy

Very informative and some good comedy. Would recommend.",US,1,2022-08-09T06:44:18Z,"Comedy Driving, Inc."
Ashraf,1.0,"Fun to take this course

Fun to take this course. I've enjoyed it.",US,1,2022-08-09T03:26:54Z,"Comedy Driving, Inc."
Jasilyn,1.0,It was great learned a lot,US,1,2022-08-09T02:24:27Z,"Comedy Driving, Inc."
Robert,1.0,"Thumbs up

Good course!",US,1,2022-08-08T22:13:38Z,"Comedy Driving, Inc."
