Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Alena & Brittany Johnson,0.6,"Disappointed in the renewal process

If I were rating only my experience with the customer service rep (Carlo) my rating for him would be a 4+. However, my experience with the totality of finding out that my contract had expired on July 10th was absolutely overwhelming and unsatisfactory. Apparently, a communication was sent via email in May 2022 meant to notify us that we were nearing the end of our contract. The primary heading of that email said that we did not have to do anything which we falsely assumed that
No action was required as stated at the top of the email was very misleading. Additionally, there are too many levels involved when there is a problem that needs to be rectified. I am appreciative that Carlo was knowledgeable of the process and helped resolve our issue. I still feel that we got dropped from the system once our rep left the company.",US,1,2022-08-16T19:07:11Z,ForeverCar
Dorothy Dellisola,1.0,"extend my contract..

I called yesterday to extend my car contract. My questions were answered completely and I was able to renew the same day. I believe her name was Paula and she was very knowledgeable",US,2,2022-08-16T17:02:23Z,ForeverCar
Chanel Melendez,1.0,"Great customer service

I called due to my account being locked while I was trying to purchase my extended coverage, Carlo picked up right away and handled everything in record time. He also answered any questions with ease and was very knowledgeable, he even verified the information and made sure I could get into my account.",US,3,2022-08-16T05:18:03Z,ForeverCar
Kevin Lynch,1.0,"excellent

customer service really helped out when my car broke down, !!! went up and above. to help out ! thank you!",US,1,2022-08-16T05:04:14Z,ForeverCar
Ferrell Soileau,1.0,"Exactly what we needed!

It’s easy ! Budget friendly, appears to be just exactly what we needed ! Hope I never need it, but it will be comforting if I have a break down!",US,1,2022-08-16T04:31:29Z,ForeverCar
Gale Faulman,1.0,"I was impressed on how helpful the…

I was impressed on how helpful the agent was. I'm glad I got the insurance and now I don't have to worry of my car needs servicing.",US,1,2022-08-16T01:52:59Z,ForeverCar
Kimberly Monk,1.0,"Victoria was great and very…

Victoria was great and very professional in assisting me and answering questions regarding a quote for my vehicle. She made the process very easy.",US,1,2022-08-16T00:56:56Z,ForeverCar
Mark Geyer,1.0,"Great service

Great experience and wonderful customer service.",US,1,2022-08-16T00:41:46Z,ForeverCar
Jim,0.8,"Easy to sign up

Easy to sign up. Sounds like a great plan, good coverage. Haven't had to use it. Ask me after I've had some repairs done",US,3,2022-08-13T18:17:19Z,ForeverCar
Reginald Patterson,1.0,"I was impressed by the professionalism…A-plus

I was impressed by the professionalism and the easy access to signing up and managing the contract. A-plus",US,1,2022-08-12T22:58:51Z,ForeverCar
David Smith,1.0,"Carlo rallo was the best he informed me…

Carlo rallo was the best he informed me of all that’s covered with my plan I’m so happy I got him I’ve learned a lot to the point I’m adding all my cars and my girl",US,1,2022-08-12T22:48:13Z,ForeverCar
David Rodriguez,1.0,"Samantha was very thorough and patient…

Samantha was very thorough and patient answering my questions and concerns",US,1,2022-08-12T19:59:14Z,ForeverCar
Michele Wilson,1.0,"GREAT SERVICE

Charlie was very informative and polite. He answered all questions with patience and professionalism.",US,1,2022-08-11T20:38:38Z,ForeverCar
Chuck Lindstrom,1.0,"The ForeverCar buying experience was GREAT!

The ForeverCar buying experience: Great!
My agent, Victoria, was a delight and was professional and efficient. She answered my questions and pointed out areas that varied from plan-to-plan. There was no pressure and yet, I was guided into understanding what plan was best for me based upon my needs. I look forward to other interactions with Victoria and ForeverCar.",US,2,2022-08-11T18:35:08Z,ForeverCar
Jimmy Marshall,1.0,"Very knowledgeable and helpful very…

Very knowledgeable and helpful very pleasant to talk to",US,1,2022-08-11T11:10:31Z,ForeverCar
Marcus Benavidez,1.0,"Very very helpful

Very very helpful, thank you. Sorry, I forgot the girl that helped me.",US,1,2022-08-11T04:05:52Z,ForeverCar
Jerry Motton,1.0,".I was treated with kindness

I was treated with kindness, and Profesionalism.
Miss or Mrs Vangone was UpFront the whole time!",US,1,2022-08-11T03:52:43Z,ForeverCar
Gavin Williams,1.0,"Charlie Hohnstein was fantastic

Charlie Hohnstein was fantastic, he explained and went through my options, without pressuring me in buying a policy. I was able to make my mind up by him giving me the information I needed to make an informed buying decision

Kudos to Charlie",US,5,2022-08-10T20:56:57Z,ForeverCar
Rebecka,1.0,"Victoria was amazing

Victoria was incredibly helpful. She answered all my questions and made this experience very easy and incredibly pleasant.",US,1,2022-08-10T19:39:52Z,ForeverCar
Toni Beamon,1.0,"Victoria - Great Service

Victoria was thorough, friendly, and easy to work with. She explained everything clearly several times.",US,1,2022-08-10T18:33:29Z,ForeverCar
