Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
PETER MASTERJOHN,1.0,"Great price

Great price, quick shipping",US,1,2022-08-16T19:00:16Z,Marine Parts Source
jeff burnham,1.0,"great place to buy marine products

price was cheaper than any where else shipping was fast and showed up they day they said it would",US,1,2022-08-16T10:19:07Z,Marine Parts Source
Nathan Nickel,0.6,"Not very impressed

Not very impressed. Ordered an item, the wrong item was shipped. Very limited stock and they could not find the correct part in stock anywhere. While working on a solution I discovered that I was able to use part of the order but due to their return policies they had to have the whole thing back in order to credit me any money. So instead of keeping the part that would work (which I will be ordering through a different vendor) and crediting me for the difference between the cost of the part they shipped me, I am returning a perfectly good one that could have been installed last week and this prolonged my project. Now just waiting on them to credit my account before I order from elsewhere.",US,1,2022-08-16T03:45:54Z,Marine Parts Source
Jeffrey S.,1.0,"They Had What I Needed

Found the part I needed for my 1986 Crusader 350. Shipped and delivered within 3 days!",US,1,2022-08-16T03:27:47Z,Marine Parts Source
Jeff Adams,1.0,"Great service

Great service. Fast shipping",US,1,2022-08-16T00:26:32Z,Marine Parts Source
CDR,1.0,"Super fast

Super fast. Very satisfied.",US,1,2022-08-16T00:12:48Z,Marine Parts Source
Matt Stephens,1.0,"Outstanding parts availability and…

Outstanding parts availability and quick delivery!",US,1,2022-08-15T22:25:30Z,Marine Parts Source
Chris Jensen,1.0,"This is not my first order with MPS

This is not my first order with MPS. I get a call the morning after I placed the order saying that not all my selections were in stock and to see how I wanted them to handle the items in question. Nobody else gives that kind of service. The prices were as good or better than anywhere else and the shipping was faster than I expected. In today's market that's a 5 star plus! They are my first selection on any future orders. Thanks again",US,1,2022-08-15T22:24:24Z,Marine Parts Source
John Fontana,1.0,"UPS losing the shipment

Had a little snafu with UPS losing the package. MPS took care of it and resent the order. Appreciated the follow up.",US,1,2022-08-15T22:07:21Z,Marine Parts Source
Anthony B,1.0,"Ordered the replacement vent filter …

Ordered the replacement vent filter and they said I’d have it in two days and I had it in two days! Great price and great delivery. Can’t ask for more.",US,1,2022-08-15T19:03:00Z,Marine Parts Source
Kathy,1.0,"Easy online order

Easy online order, part in stock, fast delivery! Thanks",US,2,2022-08-15T18:38:50Z,Marine Parts Source
saulius bartkus,1.0,"Very quick delivery

Very quick delivery. Thank you",US,1,2022-08-15T15:27:04Z,Marine Parts Source
Mitchel McFrederick,1.0,Good overall experience.,US,1,2022-08-15T15:17:19Z,Marine Parts Source
