Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
MICHAEL CIRIELLO,0.2,"Charged $$ and told “You’re all set” Drove away and learned inspection failed

I was handed the keys, charged $37, and told “You’re all set.”
I got out to the car and saw that the 2023 inspection sticker was not affixed. After I went back I was told Car failed inspection based on an emission issue. I should have been told before I got in my car and started to drive.",US,1,2022-08-16T17:31:56Z,Mavis Discount Tire
MICHAEL TOMPKINS,1.0,"Weekend Service

I brought my car for service on Sunday morning. That evening I was not able to pick it up by closing time. I called the manager and was assured that it was okay to leave it. I felt comfortable to leave it because of the relationship that I have established with Mavis. I highly recommend the Mavis on Dallas Highway to anyone who wants to be sure they will get great service at a fair price! The manager, Jeff, will make sure that your car runs as it should!! All the workers give you the sense that they care, and highly respect their customers.",US,1,2022-08-16T04:59:28Z,Mavis Discount Tire
Lewis,1.0,"Went to Mavis in New Milford CT

Went to Mavis in New Milford CT. for a oil change with no appointment. Mike the service Mgr. said he could squeeze me in. To my amazement my car was in the bay in 10 minutes. While waiting I was impressed with Mike's professional demeanor with incoming customers. Not once did he try to upsell and use fancy tech talk. I left very satisfied. Mike is my go to guy at Mavis when I need service.",US,1,2022-08-15T01:36:32Z,Mavis Discount Tire
Erin Utermarck,1.0,"Super Service

Drove up from CT, to bring our son to college. We realized that the spare tire was stuck. Kevin and the crew took us right in, helped us out and provided us with alternative solutions. Great customer service, and definitely recommend it!",US,1,2022-08-15T21:46:49Z,Mavis Discount Tire
Customer,1.0,"Timely repair of my car struts

Timely repair of my car struts. Matt and Ken had issues with getting the parts in on time, but they stayed to make sure my car was ready by early the next morning. I really appreciate the folks at Mavis Discount Tire in Califon, NJ.",US,5,2022-08-16T17:12:23Z,Mavis Discount Tire
VINCENT GARTH MAGRI,1.0,"Excellent service

I’ve had nothing but good service and experience with Stew and the Sunrise, FL Mavis crew. This is the only place I go for my tires and alignment. They balance and align to perfection. Would HIGHLY recommend this Mavis location.",US,2,2022-08-16T16:13:01Z,Mavis Discount Tire
Traci,1.0,"Plant city mavis

Paul and his crew at the plant city mavis are the best! They are always so nice and professional and always always take good care of my car and answer all questions that I might have. I always recommend all my family and friends to go to mavis in plant city! They will take real good care of you!",US,2,2022-08-15T19:14:54Z,Mavis Discount Tire
VICKI REYNOLDS,1.0,"I called on Friday and asked did I need…

I called on Friday and asked did I need to make an appointment for Saturday. No worried be there at 8. Happened as planned. My only concern was the man with beard who greeted me was not sure is was gonna happen (it did). And when I picked up my car (same man) said I will get to you when I can??? To pay my bill and pick up my car!!! Otherwise 5 stars. Thanks",US,1,2022-08-14T00:26:49Z,Mavis Discount Tire
Willie Tyler Jr.,1.0,"I was at Mavis 4389 fox valley center…was at Mavis 4389 fox valley center dr. By fox valley mail these guys took care me they went over and beyond what they was supposed to do management is so awesome

I was at Mavis 4389 fox valley center dr. By fox valley mail these guys took care me they went over and beyond what they was supposed to do management is so awesome I give you 5 stars thank you so much for taking care of me ❤ Cornelius and Cory thank you",US,1,2022-08-14T21:04:11Z,Mavis Discount Tire
Sandra,1.0,"I had an oil change and the service was…

I had an oil change and the service was quick. I was in and out in no time. This is the location on Broadway in Saratoga Springs NY. I have been to two other Mavis Tire stores and this is the best one by far.",US,5,2022-08-14T00:50:18Z,Mavis Discount Tire
Craig,1.0,"Great group of guys at Mavis Tire

Great group of guys at Mavis Tire! They are honest, dependable, and professional. I can always count on them to be thorough with my vehicle at the best possible price. I highly recommend the team from the South Lakeland, Fl location. Great Job!!",US,2,2022-08-13T16:46:45Z,Mavis Discount Tire
Jeannie Diefenderfer,1.0,"Kathy at Chester Mavis is the ultimate…

Kathy at Chester Mavis is the ultimate customer advocate. Sets expectations and gives clear communications to her customers. Can’t ask for better.",US,2,2022-08-16T16:49:40Z,Mavis Discount Tire
T K,0.2,"manager at montauk hwy store…

manager at montauk hwy store lindenhurst on 8/9/2022, i think his name is Jason, charged me $27.00 for a plug in a tire, did not take tire off of rim ,just a plug, n really bad customer service, no receit either, probably keep the cash, been going there for 20years never had a problem till yesterday, and wont b going back, I never write reviews but this guy thinks he can f me with a smile, so thats my review of your manager",US,1,2022-08-11T00:10:50Z,Mavis Discount Tire
Jen Kunkle,1.0,"Excellent service

Excellent service. This is the second time I’ve arrived early for service and was out the door BEFORE my actual appointment time. Employee who works the desk is extremely nice and helpful and has been for all the years we’ve been taking our cars to the Big Flats/Horseheads NY location. We’re very pleased and have no complaints. Thanks!",US,2,2022-08-11T18:07:35Z,Mavis Discount Tire
R KARRAT,1.0,"The front desk is amazing to work with

The front desk is amazing to work with, very flexible especially regarding customers time. Thank you for having a great team in place!",US,1,2022-08-16T18:17:12Z,Mavis Discount Tire
PHILLIP BARR,1.0,"Exceptional service

Service here is exceptional and the staff are all great. Very knowledgeable and pleasant, the people are friendly. The service you'll receive is phenomenal.",US,1,2022-08-15T18:24:51Z,Mavis Discount Tire
ELLEN ROSAS,1.0,"Everybody at this location and I’ve…

Everybody at this location and I’ve been coming here for a while is very courteous and friendly but the guy this is this morning I don’t remember his name but he was extra special.",US,3,2022-08-14T19:11:55Z,Mavis Discount Tire
TRACEY MAHONE,0.2,"This has been the worst Experience

This has been the worst Experience. I paid over $1200.00 my car is worse. I took my car back to Mavis. Now the mechanic is not at work. This is the 2nd time the mechanic not there.
This is not good.
Now today 8/10/2022 I have to wait again after I paid over $1200 for your service.
I need my car fixed right. This is unacceptable",US,2,2022-08-10T19:12:31Z,Mavis Discount Tire
Paul,0.6,"Store Experience

While the manager of the store is competent his personal skills are lacking. As a customer I have lots of other options. I use you guys because I bought my tires there when it was NTB. Still trying to like you guys.",US,2,2022-08-12T17:36:04Z,Mavis Discount Tire
ELOISE WRIGHT,1.0,"Excellent customer service by Sara

Excellent customer service by Sara. Very very helpful. I would give her a 10. Also assisted me with my final bill and ways to pay. I especially appreciate having a woman to explain what is needed to correct my tire situation. Thank you Sara!!",US,1,2022-08-10T23:49:30Z,Mavis Discount Tire
TONY VALENTIN,1.0,"Love going here

Love going here. Everyone is so helpful and the location is very clean and organized. JP at front desk was very helpful.",US,2,2022-08-16T18:30:57Z,Mavis Discount Tire
MYA' GRAY,1.0,"Excellent job

I needed my headlight replaced before I traveled. Steve found out that caused the problem and explained to me why it was not working. He ordered the part and had me on the road in time for my travel.",US,1,2022-08-12T19:19:00Z,Mavis Discount Tire
