Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Julie,1.0,Fast and friendly service,US,4,2022-08-16T06:31:47Z,Michigan Truck Spring
Charles Hoobler,1.0,"Got the right part l wanted the first…

Got the right part l wanted the first time worked great.the next suspension part I need will come from Michigan truck spring",US,1,2022-08-16T04:24:42Z,Michigan Truck Spring
Fred,1.0,"I buy from them constantly

I buy from them constantly, great prices products and fast shipping!",US,2,2022-08-16T03:25:51Z,Michigan Truck Spring
Charles Hofler,1.0,"Great product & fast shipping

Great product & fast shipping. Very easy installation all together took 2hrs from jacking vehicle up, removing wheels to putting air in the bags. Definitely better then the other air bag company that can't seem to ship their products after 3 weeks of waiting. Searched for another company & found Michigan spring. Wish I would have found them first!",US,2,2022-08-15T23:38:14Z,Michigan Truck Spring
Steve H,1.0,"Fast shipping

Fast shipping, shipped out the same day. Quality products.",US,3,2022-08-15T22:19:44Z,Michigan Truck Spring
Mike R,1.0,"Great company to deal with

Great company to deal with. There was no hassle placing my order, the prices for my needed bushings were below average and delivery was quicker than expected.",US,1,2022-08-15T22:06:44Z,Michigan Truck Spring
Chris,1.0,"Website was very user-friendly

Website was very user-friendly. I had to call customer service because my vehicle is a 2022. The service rep was very knowledgeable and helped me with my decision on a purchase.",US,1,2022-08-15T16:46:52Z,Michigan Truck Spring
VINCENT,1.0,"MTS had the obscure parts I needed

MTS had the obscure parts I needed, in-stock, shipped immediately, at half the cost of other vendors. BRAVO!!!!!",US,2,2022-08-15T02:26:15Z,Michigan Truck Spring
Anthony Nowicki,1.0,"Excellent service.

Excellent service.. had ordered 4 springs, and didn’t realize I had different part numbers from front rear axle to rear rear axle . Customer service got me set up with the correct parts for my rear rear and shipping was quick! Thx",US,1,2022-08-13T05:48:53Z,Michigan Truck Spring
Thomas Leaper,1.0,"The brake can I ordered from MTS was…

The brake can I ordered from MTS was much cheaper then any other site online and it came super fast, unbelievably fast.",US,1,2022-08-13T05:13:49Z,Michigan Truck Spring
gerardo restrepo,1.0,"Well done

Well done. Delivery was excellent, faster than I thought. Package was in good condition and nicely wrapped, no damage to product. Thank you for doing a job well done! I will certainly keep buying from you and I give you five stars. Your customer service is very good and accurate",US,3,2022-08-13T04:59:26Z,Michigan Truck Spring
ken schumacher,1.0,"parts were ordered,i thought they were…

parts were ordered,i thought they were to be shipped to me,my mistake,parts man called and asked when i was expecting to parts up,i told him i thought they were to be shipped,he made the arrangements and presto parts arrived as expected",US,2,2022-08-13T03:13:34Z,Michigan Truck Spring
Eric Wolthausen,1.0,"they had what i wanted and KNEW i was…

they had what i wanted and KNEW i was asking for the right part. fit perfect",US,1,2022-08-13T01:21:49Z,Michigan Truck Spring
Kit Enger,1.0,"I ordered parts

I ordered parts
They arrived as promised",US,1,2022-08-13T01:11:37Z,Michigan Truck Spring
Terrance Denoyer,1.0,"Shipped on Friday at 3pm

Shipped on Friday at 3pm. I was expecting it to ship Monday. Incredible service, easy to use website. If I need parts again I will not hesitate to use again. My local people couldn’t get the same part for 2 months.",US,1,2022-08-13T00:41:58Z,Michigan Truck Spring
Keith Frana,1.0,Service was good and timely.,US,1,2022-08-12T19:34:51Z,Michigan Truck Spring
Thom Perry,1.0,"Contacted Steve about a custom lift…

Contacted Steve about a custom lift application. He took my information and responded quickly. The payment process was quick and secure. The part arrived in two days and is already back on the road!",US,1,2022-08-12T19:14:59Z,Michigan Truck Spring
Lloyd,1.0,Good communication and fast shipping,US,4,2022-08-12T01:07:05Z,Michigan Truck Spring
Mike Marckini,1.0,"Great service

Ordered air bag back in May was on backorder and in August the saleman called and ask if I still needed it and he sent it had it in two days great sevrice.",US,1,2022-08-11T21:29:06Z,Michigan Truck Spring
Danny Myers,0.8,Little pricy but fit good,US,1,2022-08-11T18:30:47Z,Michigan Truck Spring
Michael Barnett,1.0,Great service all around.,US,1,2022-08-11T16:49:17Z,Michigan Truck Spring
Warren Hall,1.0,"Arrived 36 hrs

Arrived 36 hrs. after order...completely impressive!",US,1,2022-08-11T02:17:54Z,Michigan Truck Spring
Cory Anfinson,1.0,"Quick delivery

Quick delivery. Not installed yet, but springs look good.",US,1,2022-08-10T21:54:37Z,Michigan Truck Spring
Steve Cole,0.4,"The wrong both

I ordered Springs shackles and some other things The order came in they sent me the wrong bolts I called him they sent me six new bolts they were wrong I called them I talk to them they said I had the right bolts and they would call me back they never did I ordered it bolts from a different Company they were Right. thank you",US,1,2022-08-10T04:39:05Z,Michigan Truck Spring
