Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Edgard,1.0,"Very Good experience

First time i use Miles, and it was good! The best was the personnel of AVIS car rental at FLL Airport and Port Canaveral!! Waw very professional and very good/efficient service, because of them I will use Miles and AVIS again!!",AW,2.0,2022-08-11T21:59:58Z,Miles Car Rental
Howard,1.0,"Excellent Support

Excellent Support is the fourth time I use this company, it has an incredible attention, they are always willing to collaborate 100% guaranteed",BO,1.0,2022-08-13T07:53:35Z,Miles Car Rental
Honest Reviews,0.2,"This is the worst car rent experience…

This is the worst car rent experience I've had in my life. Be aware that this is a third party provider; I didn't realize when booking my car. I went to the car rental and they didn't have a car avaliable! I would have to wait at least one hour and this was 30 minutes past my pick up time. Just unbelievable!",US,3.0,2022-08-05T22:34:36Z,Miles Car Rental
MvL,0.8,"Additionals

I cannot seem to find additional for the vehicle. Like GPS rental and a baby seat.",SR,1.0,2022-08-16T06:15:23Z,Miles Car Rental
Naz,1.0,"Miles gives great competitive prices…

Miles gives great competitive prices and included insurance coverage. I've been using them for just about two years now and I have been pleased each and every time!",TT,1.0,2022-08-08T21:08:45Z,Miles Car Rental
Traci Barker-Ball,0.2,"My reservation wasn't legit

I thought this was legit but when I got to Hertz, they had no record of my reservation and were very leery about Miles. I was fortunate that they had what I needed so I wasn't stranded, but what the heck? Tried to get a hold of someone at Miles to no avail.",US,2.0,2022-08-03T19:03:45Z,Miles Car Rental
Linda Marin customer,1.0,"Ms Andrea Rodriguez was very helpful…

Ms Andrea Rodriguez was very helpful and kind. I had a lot of questions and she answered all of them. I' ve been calling since the morning for help renting a car from Orlando to Houston and she helped me in a instant. Life saver.",US,1.0,2022-07-30T03:44:51Z,Miles Car Rental
Naveen Umrao,1.0,"Emma was very knowledgeable and…

Emma was very knowledgeable and helpful. The public view website was showing a lower fare than seen internally from Viajemos and she was able to match it, going above and beyond to help me, as well as save!
Very quick and knowledgeable as well.",JM,5.0,2022-07-27T23:11:32Z,Miles Car Rental
customer,0.8,"Customer service resolved issue

Apparently if your a Florida resident you can’t use your debit card, and they don’t accept PayPal Mastercard- although the confirmation website does not say that. They accept Mastercard, Visa, Diners, etc. This booking is no good to me and it’s proving impossible to cancel. So far I’ve got the threat of keeping my deposit.
Days have now gone by without any productive follow up. I’ve received emails from the company asking for pictures of my credit card- which I e provided, and have not received follow up. Then I got an email from the company telling me they’ve been trying to contact me to discuss the matter! I’ve responded to your emails- how have you not been able to contact me?!
I have been told today that I will receive a refund without penalty. In regards to receiving regular email communication with Katerin Perez, I would be happy to raise my satisfaction rating. Although the original experience was beyond frustrating, Katerin took responsibility for my complaint and resolved it. I should have my refund in “7-15” days. Thank you Katerin.",US,1.0,2022-08-10T00:16:16Z,Miles Car Rental
ENRIQUE,1.0,"Very good customer service

Terrible customer service. The system changed my return address and will not reassign it nor fixed it.

UPDATE: Customer service (finally, a Human being), contacted me. The reimbursement was promised.
I will revise this opinion when this is completed.

UPDATE: Customer service has been very useful in my receiving a refund. They did a great job. Problem solved.
I will surely continue using Miles Car Rental in the future. I am convinced they care about the customer and answer all the issues in a rapid and effective way. Thank you.",MX,4.0,2022-07-21T07:32:24Z,Miles Car Rental
