Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Jonas Crawford,1.0,"I purchased a Control Module for my…

I purchased a Control Module for my son's car and for some reason after replacing it the issue was still present. I talked to Kait and she recommended that I return the newly purchase unit and get a transmission. I had to wait for the transmission to arrive and she was very understanding by giving me an extended time to return it while I waited to install the transmission once it arrived. Thank you Kait",US,1,2022-08-11T20:13:31Z,Street Smart® Transmission
John Groneman,1.0,"Dealing with Street Smart was one of the easy business experiences I ever had.

Dealing with Street Smart was one of the most rewarding experiences I've had in all of my years in business.
They were quick, knowledgeable and did everything they said they would do.
Extremely professional. If the transmission is as good as their performance I will be very happy.
I wish I had found them prior to rebuilding my transmission twice and almost a third time. I would have saved an enormous amount of aggravation and money.",US,1,2022-08-09T01:46:55Z,Street Smart® Transmission
Rodney Knight,1.0,"Street smart really out did themselves

Street smart really out did themselves. The transmission for my truck came within 6 days, it was installed and I took a 2400 mile trip the following week and I must say the transmission is working without flaw, thanks street smart!!",US,1,2022-08-09T08:28:23Z,Street Smart® Transmission
Chris Peterson,1.0,"Very easy transaction will use again

Very easy transaction will use again. Very helpful and reminded me to send core back thank you",US,1,2022-08-16T20:55:27Z,Street Smart® Transmission
Frank Dalessandro,1.0,"Perfect right out of the box

The transmission process was transparent and responsive end to end. I called to get quotes, and confirm the process and other information and was provided quick answers to all my questions. 4WD Transmission was shipped within days and faster than originally quoted. Once received, the mechanic installed and dealer programmed the TCM (this was a complicated install that required the mechanic to drop the engine and disconnect several other parts). However, the day after the installation and programming was complete, We drove 600 miles for vacation without a single issue. Fantastic process and product. Would buy it again in a heartbeat (though I hope I don't have to :-) Thank you....Note: Best Install pricing was obtained by going to a local mechanic and bringing it to a dealer for post-install programming.",US,1,2022-08-10T23:57:35Z,Street Smart® Transmission
Rock,1.0,"Best bang for your buck !!!!

Best bang for your buck !!!!
Greatest service ever , extremely friendly and helpful. They made the transaction easy and the return of the core even easier. Well built and equipped with upgrades I hope I never have to replace another transmission but if I do I know who to call.",US,2,2022-08-06T01:38:48Z,Street Smart® Transmission
Paxton Fusilier,1.0,"Very helpful customer service

Very helpful customer service. Easy to find the correct part. Fantastic shipping process. My mechanic was very impressed with the crate the transmission was shipped in",US,1,2022-08-09T23:38:12Z,Street Smart® Transmission
Anthony Bilotta,1.0,"Great company

Great company , transmission was delivered ahead of the scheduled delivery date and the core was picked up within one day of calling them for pick up .",US,1,2022-08-11T01:06:47Z,Street Smart® Transmission
Roy Eckert,1.0,"5 star service

The service was unbelievably quick. We received the part before the original estimated ship date! The shop they suggested was clean, friendly and very fairly priced for other services in addition to the transmission. My car was clean and wasn't greasy at all. The staff knew exactly what to do to get the core back too. It was so smooth.",US,1,2022-08-01T06:29:59Z,Street Smart® Transmission
Cliff,1.0,"Waited a little on the shipping, but

Waited a little on the shipping but, it arrived way ahead of the scheduled date they first gave me. Thanks very much to them. They are nice to deal with so far. I will have my core returned tomorrow and will see how that goes. I followed all instructions. Overall experience has been great.",US,1,2022-08-01T19:33:22Z,Street Smart® Transmission
Frank Robertson,1.0,"The ordering process was easy and at…

The ordering process was easy and at one point we thought we thought we had a problem, they were very helpful and responsive ended up not being a problem at all, will definitely use streetsmart again",US,2,2022-08-04T21:27:27Z,Street Smart® Transmission
Tim Fellows,1.0,"My neighbor and I installed the valve…

My neighbor and I installed the valve body first and it didn't solve my problem. Ordered a transmission and it came to early. We couldn't put it in then. The girls gave me an extension on my core returns which I thought was awesome. Very good people to work with and the transmission works great.",US,1,2022-07-30T14:47:39Z,Street Smart® Transmission
James,1.0,"Authentic people

Authentic people, authentic product. Service is impeccable. All went well with no problems.",US,1,2022-08-12T23:49:31Z,Street Smart® Transmission
Michael J Moculski,1.0,"All aspects of the transaction were…

All aspects of the transaction were very easy. Good communication. Transmission arrived on time as promised and well packaged. Unit looks brand new. Had to take longer than two weeks and customer service was very accommodating about the core return delay. It went into my jeep easily and runs great. Thank you!",US,1,2022-07-28T03:35:49Z,Street Smart® Transmission
Richard Hassell,1.0,"Outstanding service

Outstanding service
Great warranty
Super customer service",US,2,2022-08-16T01:38:00Z,Street Smart® Transmission
Frank F,1.0,"Awesome rebuilt transmission company

Ordering a rebuilt transmission from Street Smart Transmission was smooth and easy. Niki was polite and informed. The delivery took longer than expected because they didn’t have one in stock, but was worth the wait. My mechanic had no issues and was impressed with the quality of the rebuild.",US,4,2022-07-28T05:05:51Z,Street Smart® Transmission
Renée Neumann,1.0,"Street Smart Transmission made it simple!

Street Smart Transmission could not have made it easier! As someone who spent three decades working in the automotive aftermarket and now needing a remanufactured transmission for my own car, I was impressed with their service and warranty. If you are an individual who wants to save a ton of money over dealer pricing, you can quickly order online and Street Smart will handle all the shipping details through your installing shop. I highly recommend them to any consumer needing a quality transmission replacement for their vehicle.",US,1,2022-07-25T22:36:54Z,Street Smart® Transmission
Waterfalls,1.0,"All-around Excellance

Each time I emailed or called, the CS rep was very helpful and pleasant. The order placement was easy and smooth. The informational emails were very detailed and helpful for every step of the process. The website was user friendly and explained The whole process well.

The cost of the trans made it possible for us to get this done without draining our finances.

Would 100% recommend.",US,2,2022-07-24T04:51:13Z,Street Smart® Transmission
John,1.0,"Good Experience - Helpful Staff

I recently purchased a rebuilt transmission for my 2008 Ford Escape. The entire process went very well. The transmission arrived as agreed upon. The old transmission was promptly picked up for return the day after I notified Street Smart it was ready. We have been driving the repaired vehicle for a few days and everything appears to be performing as expected.",US,1,2022-07-24T08:24:44Z,Street Smart® Transmission
