Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Ivan maurico Torres,1.0,I like thank you the best,US,2,2022-08-16T17:01:05Z,iDriveSafely
Jaliyah Williams,1.0,"It’s a cool website

It’s a cool website, teaches you everything and gives you a fair chance of passing",US,1,2022-08-16T16:35:12Z,iDriveSafely
David Sefcik,1.0,"A great course

A great course. Very easy using the narration along with text. Recommend to anyone requiring this course.",US,1,2022-08-16T09:49:52Z,iDriveSafely
Deanna Georgieva,1.0,"A Great Learning Tool

All of the information regarding procedures, taking action in specific scenarios, and avoiding car accidents is broken down perfectly. Overall, highly recommend :)",US,1,2022-08-16T05:04:10Z,iDriveSafely
Dion Brown,1.0,"Highly recommend this course for both…

Highly recommend this course for both new drivers and old. Your life and the life others on the road is in your hands!!",US,1,2022-08-16T04:25:51Z,iDriveSafely
Lazaro Torres,1.0,"I was impressed.drive safely was…

I was impressed.drive safely was recommended to me and it was a stress free site to complete course",US,1,2022-08-15T22:20:59Z,iDriveSafely
Vincent,1.0,"Great in-depth teaching and a wealth of…

Great in-depth teaching and a wealth of knowledge for experienced as well as new drivers.",US,1,2022-08-15T21:09:15Z,iDriveSafely
Bane Reed,0.8,"Im tired of waiting 5 minutes after I…

Im tired of waiting 5 minutes after I finish a page!",US,1,2022-08-15T20:17:46Z,iDriveSafely
duke,0.2,"We need more in person sites again

I should've ✔ the reviews before doing this pre licensing course. I ordered the course on the 11th of this month and watching some of the reviews for this year I see others had the same issues as well. This is a company verified by dmv but this is the second website I have used and i am starting to realize they are basically taking advantage of this based on its online and they are behind the scenes. They get all your personal information because you don't have to go into a office setting. I finished and wasted a whole day doing this course to have them say its nothing they can do to override the verification process and did not hesitate to refund me my money. Any other company would find a way to make things right with they customers these ppl are a scam just like the it other company I used how can I go thru this two times with different companies. So now i gave my personal information to ppl that probably wouldn't hesitate to use it. Be careful with these websites that don't try to make things right for their customers.",US,1,2022-08-15T18:41:52Z,iDriveSafely
William Middleton,1.0,"i have drove on all kinds of roads and…

i have drove on all kinds of roads and in all weather. i have for gotten a few of them for they are not everyday things i use. great refresher for me.",US,1,2022-08-15T17:11:45Z,iDriveSafely
Danielle G.,0.8,"The course was very easy to complete

The course was very easy to complete. However, most of the videos wouldn't play for me.",US,5,2022-08-15T16:23:06Z,iDriveSafely
KARRENA,1.0,"I had a great experience with this…

I had a great experience with this course and feel that every driver should take it. It is a lot of amazing information. I am glad I took the time to take it.",US,3,2022-08-15T04:02:04Z,iDriveSafely
elishabe,1.0,"Easy to Use and Best one!

I have looked around and changed to many websites. Last one took my money and I can't log in again because I forgot One of my 10 security questions.
This is website is easy to use ! I give 10 stars, 5 is not enough!",US,1,2022-08-15T03:44:34Z,iDriveSafely
Nana,1.0,"Not bad for a driving school.

This actually makes learning about driving again fun.",US,1,2022-08-15T00:24:18Z,iDriveSafely
Alex Gamer,1.0,"very good

very good, teaching me lots.",US,1,2022-08-14T05:23:32Z,iDriveSafely
Ravi Adulla,1.0,Excellent course provided by isafety,US,1,2022-08-14T05:07:55Z,iDriveSafely
Chance Bottenfield,0.6,"some of the answers were from the next…

some of the answers were from the next chapter very hard to understand and i wish the test could go at my speed.no pun indeeded, it just needs a makeover because some information is outdated, overall its ok",US,1,2022-08-14T04:26:13Z,iDriveSafely
Braden Jackson,1.0,"Very helpful information in the videos…

Very helpful information in the videos and want you to pass",US,1,2022-08-14T03:30:15Z,iDriveSafely
Davis,1.0,"Easy and Informative 10/10

Informative and straight to the point. It does get repetitive but it's drilling good methods and safety procedures that I will never forget. The clock is a bit annoying because I'm a fast reader, but I know it's so people don't speed through without reading.",US,1,2022-08-14T02:50:30Z,iDriveSafely
Manuel Flores,1.0,"Totally recommended

So far it’s easy and quick.",US,1,2022-08-14T01:00:18Z,iDriveSafely
Stl,1.0,Quick and easy,US,4,2022-08-13T19:07:05Z,iDriveSafely
Olga Figueiredo,1.0,"The clock count down in the lower right…

The clock count down in the lower right screen restricts from moving to the next screen. Some people are faster readers, waiting for 0.00 makes no sense.",US,2,2022-08-13T11:48:58Z,iDriveSafely
J M,1.0,"Great program

Great program! Very informative! I recommend it!",US,1,2022-08-13T07:15:02Z,iDriveSafely
Todd Christian,1.0,Great course,US,1,2022-08-13T06:39:02Z,iDriveSafely
garcia Bores,1.0,"Awsome!you must study and understand…

Awsome!you must study and understand very well to pass the exam !",US,1,2022-08-12T23:34:44Z,iDriveSafely
Caleb,0.8,"The course so far has been thorough in…

The course so far has been thorough in describing the dangers of the road. I find the information interesting, yet not very rellavant as I will never use these drugs growing up in a Christian home, Lord helping me.",US,1,2022-08-12T22:58:54Z,iDriveSafely
jarrard anderson,0.8,"This was very convient for me and it…

This was very convient for me and it also allow me to continue my daily routine far as working and taking care of other things that I needed to take care of.",US,1,2022-08-12T15:07:38Z,iDriveSafely
Jamarian Pinckney,1.0,"It's a great help ,which comes with…

It's a great help ,which comes with great responsibility",US,1,2022-08-12T06:55:07Z,iDriveSafely
Steve Geanoulis,1.0,very helpful,US,1,2022-08-12T06:10:31Z,iDriveSafely
matthew R logie,1.0,"my experience was very knowledgable i…

my experience was very knowledgable i have learned more about myself than i was aware of and will do my utmost best to be the best that i can be on our roads,",US,1,2022-08-12T05:44:41Z,iDriveSafely
